title,content
台積電及聯發科獨撐大梁 指數量縮狹幅整理,"台積電（2330）法說會前夕，股價維持盤堅格局，與聯發科（2454）攜手上揚，扮演台股今（12）日二大最重要支撐；隨著外資11日買超縮減至35億餘元，市場買盤不足，一早衝高後，量能急速萎縮，加權指數早盤愈盤愈低，至10點21分過後，指數一度翻黑，等於指數壓回了62點。距離虎年台股封關，進入倒數第四個交易日，只剩下本周今、明二天，以及下周一、二，隨著長達12天的封關，市場抱股過年意願薄弱，台股拉高就有人逢高調節，而隨著指數來到14,800點，上檔壓力顯得不輕。台股今天到10點半前後，呈現小漲5點格局，若扣除台積電及聯發科，合計約貢獻指數20餘點，則指數等於是下跌，同時，成交值也掉到660多億元，市場估計今天成交值約在1,300多億元。"
台積電年營收2.26兆 每股盈餘11.41元創新高,台北市 / 張之晴 王士凱 報導晶圓代工龍頭台積電，今(12)日召開法說會，公布去年第四季財報，每股純益11.41元，毛利率、獲利都再度登峰，給股東們帶來大紅包。事實上台積電的股東也包含國安基金，媒體披露有超過350億元是買台積電股票，規模可能上看7萬8000張。此外台積電去年營收也高達2.26兆元，年增超過4成，直逼我國112年度中央政府總預算2.7兆元，護國神山當之無愧。去年12月，台積電在美國亞利桑那州的5奈米廠，風光舉辦移機典禮，美國總統拜登和台積電董事長劉德音這一握，再讓世界看到台積電，而台積電被稱為護國神山不是沒有原因。光是2022年全年營收高達2.26兆元，年增超過4成，直逼我國中央政府112年度總預算2.7兆元。12日舉辦法說會，第4季財報更是亮眼，毛利率衝上62.2%，單季獲利2959億元，每股盈餘11.41元，3者都再創新高，就連國安基金進場護台灣股市選擇的也是台積電，平面媒體報導，國安基金已經砸了超過350億元買台積電股票，規模可能上看7.8萬張，而台積電總裁魏哲家表示，目前看待2023年全年，記憶體之外半導體產業下滑4%，晶圓代工產業衰退約3%，但台積電會持續拚成長。<BR>
利率決策在即 道瓊下挫0.77% 台積電ADR跌0.18%,即時中心／綜合報導投資人擔心美國聯準會（Fed）將繼續升息，拖累美股表現，加上其利率決策與許多大型科技公司的財報都會在本週公布，因此投資人態度轉趨保守，導致美國股市今日收盤四大指數全面下挫；台積電美國存託憑證（ADR）則下跌0.18%，收在93.13美元。道瓊工業指數下跌260.99點或0.77%，收33717.09點；標準普爾指數下挫52.79點或1.30%，收4017.77點；那斯達克指數挫跌227.90點或1.96%，收11393.81點；費城半導體指數重挫78.58點或2.67%，收2866.69點。<BR>
快訊／台積電熄火跌6元至537元！台股跌逾80點 拚守15400關卡,"記者戴玉翔／台北報導美股3大指數30日全面收黑，道瓊指數終盤下跌260.99點，跌幅0.77%，收在33,717.09點。那斯達克綜合指數終盤下跌227.90點，跌幅1.96%，收在11,393.81點。標普500指數終盤下跌52.79點，跌幅1.30%，收在4,017.77點。台股今（31）日開盤跌74點，開在15419點，開盤1分鐘後跌86點，指數來到15407點。<BR> 台積電（2330）開盤跌6元，跌幅1.1%，股價來到537元。<BR> 聯發科（2454）開盤跌5元，跌幅0.68%，股價來到734元。<BR> 鴻 海（2317）開盤漲0.2元，漲幅0.2%，股價來到98.3元。<BR> 大立光（3008）開盤跌30元，跌幅1.39%，股價來到2135元。<BR> 聯 電（2303）開盤跌0.5元，跌幅1.02%，股價來到48.3元。啟發投顧分析師李永年盤前分析，年假期間，美國高科技股走勢強勁，台積電ADR更是大漲超過7%，激勵昨天台股加權指數在台積電開出高盤的帶動下，跳空開高走高，以史上第三高漲點560點作收。值得注意的是，外資昨天買超722億，創下史上盤中買超最高紀錄。外資在連續賣超台股三年之後，到昨天為止，一月份已經買超1978億，回流的速度相當驚人，似乎也表示外資的心態，已經出現180度的轉變，只要在政治、財經方面沒有出現黑天鵝，預期外資可望持續回流，台股也將可望擺脫去年的頹勢，至少展開中期波段反彈走勢。本週是超級央行以及美股超級財報週，加上高科技股波段反彈幅度已大，昨晚美股獲利調節退出觀望氣氛濃厚，四大指數因而全面收黑。看起來，在2/2消息面塵埃落定之前，美股應以震盪盤整的可能性較大，之後則將視消息面的多空，決定下一個波段趨勢的方向。昨天加權指數大漲560點之後，不但已經充分補漲，短線技術指標也已經進入嚴重過熱區，加上昨晚美股收黑，今天台股面臨的壓力不輕，但若外資持續大舉買超，也不能排除開低走高收小紅的可能性。但純粹自技術面研判，兩天內收黑的可能性相當高，因此建議在2/2之前，保守謹慎操作。永誠國際投顧分析師許豐祿盤前分析，台股週一如預期大漲，外資單日大買722億權值股，大漲隔天通常容易小漲小跌，多方空方修整戰力的必然結果，今天指數震盪整理為主，資金轉進昨天沒有大漲的族群。美股昨夜下跌會影響台股開盤，然震盪過程是判斷資金找尋的方向，整體而言第一季屬於超跌以及資金行情的無基之彈：電子股淡季加上春節長假營收本來就不好，股價能夠持續衝高，還是要有營收做後盾，因此營收開始回溫的股票才是重點，車用電子還是主軸，充電樁低價股會有機會，今天還是可以持續上漲，而新內閣題材生技股以及相關題材今天可望接棒向上，而美元下跌加上需求回穩的鋼鐵、原物料有機會上演一日行情。"
台股跌逾85點力守15400 台積電開盤下跌6元,即時中心／劉芳妤報導台股昨日兔年開紅盤，收盤大漲560點，站上萬五大關。不過美國股市30日收盤下挫，道瓊工業指數下跌260.99點，台股今（31）日開盤下跌74點，以15419點開出，隨後跌幅擴大至86點，跌至15407點。台積電今日開盤下跌6元，以537元開出；鴻海小漲0.2元，開98.3元；大立光下跌30元，開2135元；聯電小跌0.5元，開48.3元；聯發科下跌5元，以734元開出。美股道瓊工業指數收盤下跌260.99點，跌幅0.77%，收33717.09點；標普500指數下跌52.79點，跌幅1.3%，收4017.77點；那斯達克指數下跌227.90點，跌幅達1.96%，收11393.81點。
「殺積盤」出現！台積電重挫21元至522元 台股大跌228點收15265點,記者戴玉翔／台北報導台股今（31）日開低走低，在台積電等重點權值股熄火的影響下，盤中指數最重下跌逾227點，摜破15400、15300兩道整數關卡，終場下跌228.62點，跌幅1.48%，收在15265.20點，失守年線，今日大盤成交量2763億元。台積電在昨日大漲40元後，調節賣壓出籠，今日以537元開出，盤中急殺22元至521元，市值蒸發逾5704.68億元，終盤下跌21元，跌幅3.87%，收在522元。其他大型權值股也接連走跌，聯發科終盤下跌21元，跌幅2.84%，收在718元。大立光終盤下跌40元，跌幅1.85%，收在2125元。聯電收平盤，股價收在48.8元。而鴻海受到新電動車策略長的加持，今逆勢上漲，盤中一度收復百元大關，終盤上漲1.6元，漲幅1.63%，收在99.7元。電器電纜族群今日逆勢上漲，大亞與華榮領頭上攻，分別大漲8.75%、7.41%，華新股價一度上衝至54.4元創下歷史新高，終盤上漲2.2元，漲幅4.23%，收在54.2元。其他包含合機、億泰、中電等也都表現不俗。
台股跌228點失守年線 台積電挫近4%,（中央社記者江明晏台北31日電）美股4大指數挫跌，台股今天開低走低，在台積電失神跌近4%之下，加權指數終場下跌228.62點，收在15265.2點，失守昨天站上的年線約15370點。台股昨天開紅盤補漲，大漲逾560點後，今天指數開低走低，終場收在最低點，下跌228.62點，收在15265.2點，跌幅1.48%，成交金額新台幣2763.21億元，代表中小型股的櫃買指數上漲0.81%。台積電昨天強勢大漲後，今天股價轉弱，終場收522元，跌3.87%，下跌21元；鴻海上漲1.6%、裕隆上漲逾6%，聯發科下跌2.84%，華新上漲逾4%，矽力-KY漲逾3.98%。（編輯：楊凱翔）1120131
和台積電看齊！竹市府也彈性上下班,[NOWnews今日新聞]為了避免上下班尖峰時間塞車問題，台積電日前宣布預計最快在2月起試行彈性上下班制度，對此，新竹市政府今（31）日也跟進宣布，規劃自3月1日起實施彈性上下班時間調整為1小時、星期五及補班日彈性上班時間擴大為1.5小時。為解決竹科上下班時間車潮擁塞，近期台積電發布將試辦彈性分流上下班制，區分7點半、8點半、9點半3個時段，當勞工工作滿8小時，最快下午4點半即可下班，若成效佳最快半年後全面實施。對此，竹市府人事處表示，市府將調整彈性上下班時間，並檢討修正「新竹市政府實施感應卡差勤系統出勤管理要點」，自3月1日起，府本部員工彈性上班時間由現行半小時調整為1小時，彈性時間與鄰近新竹縣政府齊平，並特別將星期五及補班日的星期六彈性上班擴大為1.5小時，等於星期五及補班日最快4點半即可下班。市府表示，未來市府將極力向企業推廣彈性上下班的制度，公私協力一起打造友善的勞動及交通環境，盼與企業一起攜手解決新竹交通的問題，讓新竹市民有更高品質的生活。（編輯：林莞茜）
台積電反彈漲2% 台股開高百點站上15300點,美股4大指數反彈，台股今天也跳空開高，在台積電漲幅約2%帶動下，指數大漲超過百點，收復15300點整數關卡及年線，最高來到15399.97點。權值電子股台積電上漲10元開出，早盤最高533元、漲幅約2.1%；周五（3日）將召開法人說明會的聯發科漲幅約1%，最高728元。航運貨櫃股長榮小漲0.33%，早盤最高153元。
跟進台積電！ 竹市府3/1起「擴大彈性上下班」,新竹市府宣布跟進台積電，從3月1日開始擴大彈性上下班制度，希望能藉此改善交通壅塞問題，但就有民眾怕洽工權益受影響，對此，新竹市府解釋，已經盤點府內人力配置，未來會依工作性質，由各單位主管進行人力安排。塞塞塞，新竹科學園區上下班時間總是大塞車為了紓解交通，台積電31日宣布實施彈性上下班制度，只要工作滿8小時就可以下班。為了進一步改善交通問題新竹市府宣布跟進台積電作法，從3月1日開始擴大彈性上下班時間，從現行的半小時延長到一小時，周五則會延長一個半小時，讓員工工作時間更加彈性。新竹市府員工：「早上6點鐘的時候其實就會去游泳，所以就是延長這個上下班時間，其實對我來說算是一個，滿有幫助的一件事情，這樣子我就可以不用那麼早起。」提早上班就會提早下班，只是民眾不免擔心來市府洽公變空城。民眾：「只要他的上班服務我們的時間沒變，那就我覺得沒關係。」對此新竹市府表示已經盤點府內人力配置，強調彈性工時不會影響洽公權益，未來也會依工作性質，由每個單位主管進行人力安排，到班後先處理事務也說彈性工時，不會因此加重其他人工作量。新竹市長高虹安：「這個方式除了說可以讓市府員工，可以有更多彈性空間以外，更重要的是可以降低，交通尖峰時期壅塞狀況在這樣一個作法之下，當然我們同時也會採用替代道路開闢方式，雙管齊下。」上下班塞車問題向來都是通勤族惡夢，透過彈性上下班時間，將車流分到不同時段，讓民眾不用在路上卡半天。
台積電過這關將站上600元...元宵行情杜金龍推這4檔,台北市 / 綜合報導台股新春開紅盤，台積電也大漲，主要是因為農曆年封關期間，美國股市大漲，台積電ADR也大漲，不過許多分析師都看空今年的盤勢，台積電有機會漲回600元嗎？另外根據過去經驗，元宵節前後有很高機率一個波段的漲幅，這時候要卡位哪幾檔？華視網路理財節目「鈔錢部署」邀請資深分析師杜金龍，來分享他的看法。台積電會一路漲破600元嗎？杜金龍認為，台積電是大盤的領頭羊，1月30日開盤後開高走高，大盤突破去年12月1日的15152點的壓力區，但是接下來台積電有可能在540元到560元之間，短線會開始有震盪壓力，台股從1月30日後開始真正進入一個套牢區，有沒有辦法突破萬六，可能就要看交易量的多寡。杜金龍也分享，自己日前解定存買台積電，在開盤大漲後先減碼一些，讓獲利了結，但是基本持股不變。除了台積電以外，金兔年還有哪些股票是值得大家去關注？杜金龍指出，他挑出台股的個股當中，已經上市25年的股票，且在股價淨值比、殖利率和本益比三方面都是正的。第一檔就是聯強(2347)，是通路股當中相對穩定的個股，它現在的本益比，比它28年來的本益比都還要低，而且最近股價都沒有創高，加上之前利空消息出來後已經跌了一大段，如果不知道要選哪一檔股票的投資人，可以選擇這一支。另外杜金龍還推薦了致茂(2360)、瑞昱(2379)等等，挑選條件如何？他在節目中有詳細分析。主持人盧燕俐表示，近15年元宵的行情，元宵前後都有一個波段漲幅，甚至在後10天上漲機率高達87%。如此，有哪些個股是值得大家卡位？杜金龍選了「長榮航(2618)」、「聯電(2303)」、「欣興(3037)」、「智原(3035)」，他在節目中也有詳細解釋。<BR>
台積電神龍擺尾!台股強漲154點 收復年線,金兔年外資買盤強勁，高盛證券就基於五大理由，升評台股至「中立」，目標點位從1萬4700點，升至1萬6200點，並看好包括景氣循環股、晶圓代工、電動車與原物料等10大產業族群。
新制勞退、勞保基金除了台積電 也愛這3檔金融股,勞動基金運用局今 (1) 日公布基金持股概況，包括新制與勞保基金，去 (2022) 年下半年前 10 大持股中，排名第一的皆為台積電 (2330-TW)，但持股比重都較上半年略降；而金融股中的國泰金 (2882-TW)、富邦金 (2881-TW)、兆豐金 (2886-TW) 也是新制與勞保基金布局標的。根據勞動基金運用局每半年會公告基金持股明細，根據今天揭露的前 10 大持股明細中，新制勞退基金去年下半年持股比重排名第 1 的仍是台積電，持股比重 28.69%，但比起上半年 29.51% 略為下滑其他包括鴻海 (2317-TW)、台達電 (2308-TW)、中華電信 (2412-TW)、富邦金、聯發科 (2454-TW)、國泰金、兆豐金、中信金 (2891-TW) 與統一 (1216-TW) 也獲新制勞退基金青睞。新制勞退基金自營部位，布局同樣首重台積電，截至去年底持股比重 38.55% 居冠，其他包括中華電、台達電、鴻海、富邦金、國泰金、台灣大、聯發科、兆豐金、統一超 (2912-TW) 同樣是鎖定目標。舊制勞退基金一樣重兵布署台積電，持股比重高達 33.44% 居冠，台達電、鴻海、台塑 (1301-TW)、中華電、聯發科、兆豐金、富邦金、統一、中鋼 (2002-TW) 也擠進前 10 大持股。勞保基金下半年前 10 大持股中，不論勞保基金、自營及委外等，持股第一名全都是台積電，其中勞保基金自營部分持股逾 3 成，委外代操也有 2 成以上。根據統計，勞保基金前 10 大持股中，持有台積電比重達 35.17%，其他包括中華電、台達電、鴻海、富邦金、國泰金、兆豐金、台灣大、統一超、聯發科等也是勞保基金所愛。在自營部位，持有台積電比重達 36.11%，其他包括中華電、台達電、富邦金、鴻海、國泰金、兆豐金、台灣大、統一超、聯發科同樣擠進持股前 10 大標的。
美僅升息1碼 台股漲逾130點 台積電強彈10元至540,台股今（2日）以15508.83點開出，上漲超過百點，隨後漲幅擴大至逾130點，台積電漲10元觸及540元，聯發科漲23元觸及747元。台股昨（1日）止跌，上漲154.93點收在15420.13點，成交值為2336.78億。三大法人同步買超，合計買超121.98億，自營商買超11.54億，投信買超7.93億，外資及陸資買超102.51億。聯準會周三僅升息1碼，且鮑爾透露，今年仍不適合降息，通膨已開始出現和緩，央行還有很多工作要做，現在宣告勝利太早，仍有機會實現軟著陸，此番言論刺激美股四大指數翻紅。道瓊終場上漲6.92點（或0.02%）至34092.96點，那斯達克指數漲231.77點（或2%）至11816.32點，標普500指數上揚42.61點（或1.05%）至4119.21點，費城半導體漲151.55點（或5.19%）至3073.47點。
Fed升息1碼！台股開盤大漲130點 台積電漲8元至538,美國聯準會（Fed）宣布升息1碼，主席鮑爾更坦承通膨開始降溫，市場樂觀情緒蔓延，美股4大指數全面上揚，連帶助長台股漲勢。台股今（2）日開盤漲88.7點，站上15508.83點，此後漲幅持續擴大至140點，電子股、傳產及金融全面走揚。台積電（2330）今日開盤漲8元（1.51%），股價538元；鴻海（2317）開盤漲0.5元（0.5%），股價100.5點；聯發科（2454）開盤漲23元（3.17%），股價747元；大立光（3008）開盤漲10元（0.45%），股價2225元。美股部分，道瓊指數上漲6.92點（0.02%），收34092.96點；那斯達克指數上漲231.77點（2.00%），收11816.32點；標普500指數漲42.61點（1.05%），報4119.21點；費城半導體指數漲151.55點（5.19點），站上3073.47點。
